timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1634575421439,916,Petición,200,OK,Prueba de Estres 1600U 1-2,text,true,,29904,114,26,26,https://reqres.in/,783,0,392
1634575421401,956,Petición,200,OK,Prueba de Estres 1600U 1-1,text,true,,29904,114,26,26,https://reqres.in/,827,0,418
1634575421477,915,Petición,200,OK,Prueba de Estres 1600U 1-3,text,true,,29910,114,25,25,https://reqres.in/,800,0,407
1634575421512,971,Petición,200,OK,Prueba de Estres 1600U 1-4,text,true,,29906,114,26,26,https://reqres.in/,843,0,453
1634575421550,959,Petición,200,OK,Prueba de Estres 1600U 1-5,text,true,,29900,114,26,26,https://reqres.in/,829,0,433
1634575421588,1026,Petición,200,OK,Prueba de Estres 1600U 1-6,text,true,,29902,114,27,27,https://reqres.in/,888,0,487
1634575421703,917,Petición,200,OK,Prueba de Estres 1600U 1-9,text,true,,29917,114,27,27,https://reqres.in/,792,0,416
1634575421741,948,Petición,200,OK,Prueba de Estres 1600U 1-10,text,true,,29904,114,27,27,https://reqres.in/,813,0,450
1634575421779,918,Petición,200,OK,Prueba de Estres 1600U 1-11,text,true,,29906,114,27,27,https://reqres.in/,782,0,412
1634575421626,1075,Petición,200,OK,Prueba de Estres 1600U 1-7,text,true,,29914,114,26,26,https://reqres.in/,946,0,528
1634575421817,884,Petición,200,OK,Prueba de Estres 1600U 1-12,text,true,,29902,114,25,25,https://reqres.in/,755,0,393
1634575421665,1066,Petición,200,OK,Prueba de Estres 1600U 1-8,text,true,,29921,114,25,25,https://reqres.in/,938,0,526
1634575421856,1036,Petición,200,OK,Prueba de Estres 1600U 1-13,text,true,,29912,114,28,28,https://reqres.in/,929,0,512
1634575421894,1019,Petición,200,OK,Prueba de Estres 1600U 1-14,text,true,,29904,114,27,27,https://reqres.in/,885,0,474
1634575421932,1017,Petición,200,OK,Prueba de Estres 1600U 1-15,text,true,,29906,114,27,27,https://reqres.in/,912,0,483
1634575422008,942,Petición,200,OK,Prueba de Estres 1600U 1-17,text,true,,29902,114,27,27,https://reqres.in/,842,0,456
1634575422045,928,Petición,200,OK,Prueba de Estres 1600U 1-18,text,true,,29906,114,26,26,https://reqres.in/,811,0,408
1634575422083,929,Petición,200,OK,Prueba de Estres 1600U 1-19,text,true,,29915,114,26,26,https://reqres.in/,809,0,424
1634575422122,915,Petición,200,OK,Prueba de Estres 1600U 1-20,text,true,,29908,114,26,26,https://reqres.in/,789,0,410
1634575421969,1068,Petición,200,OK,Prueba de Estres 1600U 1-16,text,true,,29904,114,25,25,https://reqres.in/,943,0,539
1634575422160,1037,Petición,200,OK,Prueba de Estres 1600U 1-21,text,true,,29904,114,28,28,https://reqres.in/,918,0,512
1634575422235,981,Petición,200,OK,Prueba de Estres 1600U 1-23,text,true,,29906,114,27,27,https://reqres.in/,860,0,478
1634575422197,1025,Petición,200,OK,Prueba de Estres 1600U 1-22,text,true,,29917,114,26,26,https://reqres.in/,909,0,499
1634575422273,973,Petición,200,OK,Prueba de Estres 1600U 1-24,text,true,,29912,114,26,26,https://reqres.in/,846,0,452
1634575422311,953,Petición,200,OK,Prueba de Estres 1600U 1-25,text,true,,29900,114,26,26,https://reqres.in/,819,0,438
1634575422388,919,Petición,200,OK,Prueba de Estres 1600U 1-27,text,true,,29902,114,26,26,https://reqres.in/,803,0,411
1634575422349,969,Petición,200,OK,Prueba de Estres 1600U 1-26,text,true,,29898,114,25,25,https://reqres.in/,850,0,449
1634575422426,928,Petición,200,OK,Prueba de Estres 1600U 1-28,text,true,,29905,114,25,25,https://reqres.in/,808,0,433
1634575422463,1032,Petición,200,OK,Prueba de Estres 1600U 1-29,text,true,,29904,114,28,28,https://reqres.in/,910,0,505
1634575422615,904,Petición,200,OK,Prueba de Estres 1600U 1-33,text,true,,29908,114,27,27,https://reqres.in/,781,0,420
1634575422577,985,Petición,200,OK,Prueba de Estres 1600U 1-32,text,true,,29912,114,27,27,https://reqres.in/,872,0,476
1634575422540,1029,Petición,200,OK,Prueba de Estres 1600U 1-31,text,true,,29908,114,27,27,https://reqres.in/,936,0,514
1634575422502,1071,Petición,200,OK,Prueba de Estres 1600U 1-30,text,true,,29908,114,26,26,https://reqres.in/,942,0,522
1634575422654,962,Petición,200,OK,Prueba de Estres 1600U 1-34,text,true,,29904,114,26,26,https://reqres.in/,842,0,441
1634575422692,950,Petición,200,OK,Prueba de Estres 1600U 1-35,text,true,,29906,114,26,26,https://reqres.in/,815,0,451
1634575422731,953,Petición,200,OK,Prueba de Estres 1600U 1-36,text,true,,29908,114,26,26,https://reqres.in/,806,0,412
1634575422768,1042,Petición,200,OK,Prueba de Estres 1600U 1-37,text,true,,29910,114,28,28,https://reqres.in/,921,0,508
1634575422804,1018,Petición,200,OK,Prueba de Estres 1600U 1-38,text,true,,29918,114,27,27,https://reqres.in/,891,0,478
1634575422919,924,Petición,200,OK,Prueba de Estres 1600U 1-41,text,true,,29930,114,27,27,https://reqres.in/,795,0,424
1634575422843,1045,Petición,200,OK,Prueba de Estres 1600U 1-39,text,true,,29904,114,27,27,https://reqres.in/,908,0,499
1634575422881,1020,Petición,200,OK,Prueba de Estres 1600U 1-40,text,true,,29906,114,26,26,https://reqres.in/,894,0,498
1634575423034,905,Petición,200,OK,Prueba de Estres 1600U 1-44,text,true,,29906,114,26,26,https://reqres.in/,794,0,416
1634575422996,961,Petición,200,OK,Prueba de Estres 1600U 1-43,text,true,,29912,114,26,26,https://reqres.in/,827,0,430
1634575422958,1003,Petición,200,OK,Prueba de Estres 1600U 1-42,text,true,,29914,114,25,25,https://reqres.in/,883,0,456
1634575423071,1011,Petición,200,OK,Prueba de Estres 1600U 1-45,text,true,,29913,114,27,27,https://reqres.in/,887,0,485
1634575423225,920,Petición,200,OK,Prueba de Estres 1600U 1-49,text,true,,29906,114,28,28,https://reqres.in/,777,0,416
1634575423109,1099,Petición,200,OK,Prueba de Estres 1600U 1-46,text,true,,29910,114,28,28,https://reqres.in/,972,0,551
1634575423262,965,Petición,200,OK,Prueba de Estres 1600U 1-50,text,true,,29906,114,28,28,https://reqres.in/,867,0,422
1634575423185,1043,Petición,200,OK,Prueba de Estres 1600U 1-48,text,true,,29913,114,28,28,https://reqres.in/,951,0,493
1634575423147,1108,Petición,200,OK,Prueba de Estres 1600U 1-47,text,true,,29910,114,27,27,https://reqres.in/,990,0,524
1634575423299,956,Petición,200,OK,Prueba de Estres 1600U 1-51,text,true,,29908,114,27,27,https://reqres.in/,837,0,452
1634575423337,973,Petición,200,OK,Prueba de Estres 1600U 1-52,text,true,,29918,114,26,26,https://reqres.in/,858,0,461
1634575423375,1004,Petición,200,OK,Prueba de Estres 1600U 1-53,text,true,,29902,114,27,27,https://reqres.in/,881,0,483
1634575423527,919,Petición,200,OK,Prueba de Estres 1600U 1-57,text,true,,29907,114,28,28,https://reqres.in/,806,0,440
1634575423451,1049,Petición,200,OK,Prueba de Estres 1600U 1-55,text,true,,29908,114,28,28,https://reqres.in/,925,0,509
1634575423566,944,Petición,200,OK,Prueba de Estres 1600U 1-58,text,true,,29904,114,27,27,https://reqres.in/,811,0,419
1634575423414,1097,Petición,200,OK,Prueba de Estres 1600U 1-54,text,true,,29904,114,26,26,https://reqres.in/,962,0,553
1634575423489,1023,Petición,200,OK,Prueba de Estres 1600U 1-56,text,true,,29906,114,25,25,https://reqres.in/,917,0,497
1634575423604,930,Petición,200,OK,Prueba de Estres 1600U 1-59,text,true,,29910,114,25,25,https://reqres.in/,819,0,429
1634575423640,985,Petición,200,OK,Prueba de Estres 1600U 1-60,text,true,,29913,114,26,26,https://reqres.in/,859,0,464
1634575423716,934,Petición,200,OK,Prueba de Estres 1600U 1-62,text,true,,29900,114,26,26,https://reqres.in/,800,0,425
1634575423679,972,Petición,200,OK,Prueba de Estres 1600U 1-61,text,true,,29908,114,25,25,https://reqres.in/,843,0,466
1634575423755,931,Petición,200,OK,Prueba de Estres 1600U 1-63,text,true,,29916,114,25,25,https://reqres.in/,792,0,422
1634575423793,991,Petición,200,OK,Prueba de Estres 1600U 1-64,text,true,,29910,114,27,27,https://reqres.in/,844,0,480
1634575423830,1035,Petición,200,OK,Prueba de Estres 1600U 1-65,text,true,,29908,114,28,28,https://reqres.in/,927,0,498
1634575423869,1026,Petición,200,OK,Prueba de Estres 1600U 1-66,text,true,,29902,114,28,28,https://reqres.in/,912,0,518
1634575423983,924,Petición,200,OK,Prueba de Estres 1600U 1-69,text,true,,29917,114,27,27,https://reqres.in/,805,0,435
1634575423906,1038,Petición,200,OK,Prueba de Estres 1600U 1-67,text,true,,29904,114,27,27,https://reqres.in/,916,0,500
1634575424021,952,Petición,200,OK,Prueba de Estres 1600U 1-70,text,true,,29906,114,27,27,https://reqres.in/,845,0,450
1634575423945,1076,Petición,200,OK,Prueba de Estres 1600U 1-68,text,true,,29906,114,27,27,https://reqres.in/,943,0,532
1634575424058,963,Petición,200,OK,Prueba de Estres 1600U 1-71,text,true,,29911,114,27,27,https://reqres.in/,836,0,443
1634575424097,996,Petición,200,OK,Prueba de Estres 1600U 1-72,text,true,,29904,114,27,27,https://reqres.in/,858,0,463
1634575424137,969,Petición,200,OK,Prueba de Estres 1600U 1-73,text,true,,29902,114,26,26,https://reqres.in/,842,0,446
1634575424173,1035,Petición,200,OK,Prueba de Estres 1600U 1-74,text,true,,29916,114,28,28,https://reqres.in/,908,0,501
1634575424286,957,Petición,200,OK,Prueba de Estres 1600U 1-77,text,true,,29914,114,28,28,https://reqres.in/,831,0,424
1634575424211,1045,Petición,200,OK,Prueba de Estres 1600U 1-75,text,true,,29908,114,27,27,https://reqres.in/,930,0,493
1634575424325,969,Petición,200,OK,Prueba de Estres 1600U 1-78,text,true,,29914,114,27,27,https://reqres.in/,846,0,458
1634575424402,903,Petición,200,OK,Prueba de Estres 1600U 1-80,text,true,,29915,114,26,26,https://reqres.in/,781,0,409
1634575424366,945,Petición,200,OK,Prueba de Estres 1600U 1-79,text,true,,29911,114,25,25,https://reqres.in/,831,0,428
1634575424249,1085,Petición,200,OK,Prueba de Estres 1600U 1-76,text,true,,29902,114,25,25,https://reqres.in/,964,0,538
1634575424477,1014,Petición,200,OK,Prueba de Estres 1600U 1-82,text,true,,29912,114,28,28,https://reqres.in/,888,0,485
1634575424441,1050,Petición,200,OK,Prueba de Estres 1600U 1-81,text,true,,29921,114,28,28,https://reqres.in/,911,0,508
1634575424591,923,Petición,200,OK,Prueba de Estres 1600U 1-85,text,true,,29908,114,27,27,https://reqres.in/,819,0,435
1634575424515,1016,Petición,200,OK,Prueba de Estres 1600U 1-83,text,true,,29920,114,26,26,https://reqres.in/,895,0,476
1634575424553,1032,Petición,200,OK,Prueba de Estres 1600U 1-84,text,true,,29900,114,27,27,https://reqres.in/,935,0,504
1634575424667,930,Petición,200,OK,Prueba de Estres 1600U 1-87,text,true,,29910,114,26,26,https://reqres.in/,821,0,427
1634575424629,999,Petición,200,OK,Prueba de Estres 1600U 1-86,text,true,,29906,114,26,26,https://reqres.in/,867,0,465
1634575424704,941,Petición,200,OK,Prueba de Estres 1600U 1-88,text,true,,29904,114,25,25,https://reqres.in/,797,0,425
1634575424758,989,Petición,200,OK,Prueba de Estres 1600U 1-89,text,true,,29906,114,27,27,https://reqres.in/,863,0,466
1634575424784,1054,Petición,200,OK,Prueba de Estres 1600U 1-90,text,true,,29910,114,28,28,https://reqres.in/,922,0,510
1634575424820,1019,Petición,200,OK,Prueba de Estres 1600U 1-91,text,true,,29914,114,28,28,https://reqres.in/,887,0,498
1634575424857,999,Petición,200,OK,Prueba de Estres 1600U 1-92,text,true,,29910,114,27,27,https://reqres.in/,873,0,478
1634575424895,1016,Petición,200,OK,Prueba de Estres 1600U 1-93,text,true,,29904,114,27,27,https://reqres.in/,896,0,503
1634575424933,1008,Petición,200,OK,Prueba de Estres 1600U 1-94,text,true,,29902,114,27,27,https://reqres.in/,888,0,484
1634575425011,971,Petición,200,OK,Prueba de Estres 1600U 1-96,text,true,,29917,114,27,27,https://reqres.in/,850,0,460
1634575424971,1023,Petición,200,OK,Prueba de Estres 1600U 1-95,text,true,,29910,114,26,26,https://reqres.in/,885,0,487
1634575425048,953,Petición,200,OK,Prueba de Estres 1600U 1-97,text,true,,29904,114,26,26,https://reqres.in/,838,0,453
1634575425085,1013,Petición,200,OK,Prueba de Estres 1600U 1-98,text,true,,29902,114,27,27,https://reqres.in/,807,0,434
1634575425124,979,Petición,200,OK,Prueba de Estres 1600U 1-99,text,true,,29902,114,26,26,https://reqres.in/,798,0,425
1634575425162,944,Petición,200,OK,Prueba de Estres 1600U 1-100,text,true,,29910,114,25,25,https://reqres.in/,808,0,422
1634575425199,1056,Petición,200,OK,Prueba de Estres 1600U 1-101,text,true,,29902,114,28,28,https://reqres.in/,918,0,501
1634575425237,1025,Petición,200,OK,Prueba de Estres 1600U 1-102,text,true,,29902,114,28,28,https://reqres.in/,911,0,505
1634575425276,1004,Petición,200,OK,Prueba de Estres 1600U 1-103,text,true,,29918,114,27,27,https://reqres.in/,866,0,454
1634575425352,947,Petición,200,OK,Prueba de Estres 1600U 1-105,text,true,,29902,114,26,26,https://reqres.in/,825,0,438
1634575425390,921,Petición,200,OK,Prueba de Estres 1600U 1-106,text,true,,29912,114,26,26,https://reqres.in/,789,0,418
1634575425428,919,Petición,200,OK,Prueba de Estres 1600U 1-107,text,true,,29904,114,26,26,https://reqres.in/,804,0,411
1634575425313,1063,Petición,200,OK,Prueba de Estres 1600U 1-104,text,true,,29912,114,26,26,https://reqres.in/,925,0,526
1634575425464,954,Petición,200,OK,Prueba de Estres 1600U 1-108,text,true,,29910,114,25,25,https://reqres.in/,834,0,439
1634575425503,1113,Petición,200,OK,Prueba de Estres 1600U 1-109,text,true,,29912,114,30,30,https://reqres.in/,986,0,595
1634575425693,936,Petición,200,OK,Prueba de Estres 1600U 1-114,text,true,,29918,114,29,29,https://reqres.in/,815,0,436
1634575425540,1113,Petición,200,OK,Prueba de Estres 1600U 1-110,text,true,,29912,114,29,29,https://reqres.in/,981,0,558
1634575425660,1021,Petición,200,OK,Prueba de Estres 1600U 1-113,text,true,,29900,114,28,28,https://reqres.in/,873,0,475
1634575425579,1115,Petición,200,OK,Prueba de Estres 1600U 1-111,text,true,,29917,114,28,28,https://reqres.in/,953,0,526
1634575425731,1006,Petición,200,OK,Prueba de Estres 1600U 1-115,text,true,,29902,114,28,28,https://reqres.in/,882,0,507
1634575425768,969,Petición,200,OK,Prueba de Estres 1600U 1-116,text,true,,29909,114,28,28,https://reqres.in/,843,0,470
1634575425617,1138,Petición,200,OK,Prueba de Estres 1600U 1-112,text,true,,29906,114,26,26,https://reqres.in/,1012,0,602
1634575425960,981,Petición,200,OK,Prueba de Estres 1600U 1-121,text,true,,29902,114,30,30,https://reqres.in/,855,0,470
1634575426034,983,Petición,200,OK,Prueba de Estres 1600U 1-123,text,true,,29924,114,31,31,https://reqres.in/,818,0,438
1634575425996,1023,Petición,200,OK,Prueba de Estres 1600U 1-122,text,true,,29909,114,30,30,https://reqres.in/,875,0,476
1634575425806,1213,Petición,200,OK,Prueba de Estres 1600U 1-117,text,true,,29910,114,30,30,https://reqres.in/,1029,0,595
1634575425844,1185,Petición,200,OK,Prueba de Estres 1600U 1-118,text,true,,29908,114,29,29,https://reqres.in/,1013,0,611
